10:59:32:596 [ALWAYS]	GUDE Logging Started
10:59:32:596 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:59:32:596 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:59:32:596 [ERROR]	Initialize resume cache pointer failure
10:59:32:596 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:59:32:596 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:59:38:528 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:59:38:528 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:59:38:528 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:59:38:529 [ERROR]	Initialize resume cache pointer failure
10:59:38:529 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:59:38:529 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
